LOTTO GAME	COMBINATIONS	DRAW DATE	JACKPOT	WINNERS
6Digit	3-0-7-5-9-2	7/8/2014	4,977,039.50	0
Suertres Lotto 11AM	7-0-8	7/8/2014	4,500.00	972
Suertres Lotto 4PM	5-9-0	7/8/2014	4,500.00	365
Suertres Lotto 9PM	4-9-8	7/8/2014	4,500.00	648
EZ2 Lotto 9PM	01-28	7/8/2014	4,000.00	289
Lotto 6/42	17-26-38-15-04-37	7/8/2014	9,844,376.00	0
EZ2 Lotto 11AM	21-31	7/8/2014	4,000.00	146
EZ2 Lotto 4PM	13-05	7/8/2014	4,000.00	215
Megalotto 6/45	31-21-06-07-01-23	7/7/2014	9,000,000.00	0
4Digit	3-5-0-6	7/7/2014	30,200.00	28
Suertres Lotto 11AM	5-1-1	7/7/2014	4,500.00	404
Suertres Lotto 4PM	3-9-6	7/7/2014	4,500.00	424
Suertres Lotto 9PM	0-9-9	7/7/2014	4,500.00	430
EZ2 Lotto 9PM	07-01	7/7/2014	4,000.00	635
EZ2 Lotto 11AM	02-25	7/7/2014	4,000.00	190
EZ2 Lotto 4PM	30-20	7/7/2014	4,000.00	176
Grand Lotto 6/55	20-52-24-03-14-36	7/7/2014	30,000,000.00	0
Superlotto 6/49	46-19-28-32-24-37	7/6/2014	49,550,476.00	0
Suertres Lotto 11AM	3-0-9	7/6/2014	4,500.00	315
Suertres Lotto 4PM	7-9-1	7/6/2014	4,500.00	256
Suertres Lotto 9PM	4-7-5	7/6/2014	4,500.00	785
EZ2 Lotto 9PM	13-30	7/6/2014	4,000.00	226
EZ2 Lotto 11AM	20-20	7/6/2014	4,000.00	341
EZ2 Lotto 4PM	16-30	7/6/2014	4,000.00	88
6Digit	4-9-9-8-0-8	7/5/2014	4,624,808.30	0
Suertres Lotto 11AM	4-9-6	7/5/2014	4,500.00	277
Suertres Lotto 4PM	1-8-3	7/5/2014	4,500.00	362
Suertres Lotto 9PM	5-0-8	7/5/2014	4,500.00	1101
EZ2 Lotto 9PM	09-25	7/5/2014	4,000.00	637
Lotto 6/42	39-21-11-27-08-37	7/5/2014	7,334,364.00	0
EZ2 Lotto 11AM	18-07	7/5/2014	4,000.00	187
EZ2 Lotto 4PM	26-02	7/5/2014	4,000.00	182
Grand Lotto 6/55	07-45-39-49-01-27	7/5/2014	30,000,000.00	0
Megalotto 6/45	35-37-05-39-12-11	7/4/2014	92,361,380.00	1
4Digit	7-7-6-9	7/4/2014	40,476.00	23
Suertres Lotto 11AM	9-6-6	7/4/2014	4,500.00	351
Suertres Lotto 4PM	1-1-5	7/4/2014	4,500.00	974
Suertres Lotto 9PM	7-7-6	7/4/2014	4,500.00	543
EZ2 Lotto 9PM	22-04	7/4/2014	4,000.00	296
EZ2 Lotto 11AM	08-21	7/4/2014	4,000.00	269
EZ2 Lotto 4PM	03-28	7/4/2014	4,000.00	213
Superlotto 6/49	12-19-22-20-30-38	7/3/2014	43,791,720.00	0
6Digit	2-4-8-4-7-6	7/3/2014	4,235,113.52	0
Suertres Lotto 11AM	5-8-8	7/3/2014	4,500.00	315
Suertres Lotto 4PM	5-5-8	7/3/2014	4,500.00	900
Suertres Lotto 9PM	2-4-9	7/3/2014	4,500.00	408
EZ2 Lotto 9PM	17-30	7/3/2014	4,000.00	255
Lotto 6/42	40-30-06-04-02-22	7/3/2014	6,000,000.00	0
EZ2 Lotto 11AM	28-27	7/3/2014	4,000.00	40
EZ2 Lotto 4PM	04-12	7/3/2014	4,000.00	208
Megalotto 6/45	42-17-31-20-06-34	7/2/2014	83,967,724.00	0
4Digit	8-1-2-2	7/2/2014	33,640.00	16
Suertres Lotto 11AM	8-3-0	7/2/2014	4,500.00	472
Suertres Lotto 4PM	6-6-2	7/2/2014	4,500.00	342
Suertres Lotto 9PM	6-5-4	7/2/2014	4,500.00	610
EZ2 Lotto 9PM	24-01	7/2/2014	4,000.00	131
EZ2 Lotto 11AM	12-06	7/2/2014	4,000.00	173
EZ2 Lotto 4PM	24-25	7/2/2014	4,000.00	39
Grand Lotto 6/55	51-14-21-04-22-50	7/2/2014	30,000,000.00	0
Superlotto 6/49	07-09-29-18-21-26	7/1/2014	39,672,764.00	0
6Digit	4-3-3-8-8-8	7/1/2014	3,959,473.66	0
Suertres Lotto 11AM	4-4-4	7/1/2014	4,500.00	854
Suertres Lotto 4PM	6-7-5	7/1/2014	4,500.00	574
Suertres Lotto 9PM	1-8-7	7/1/2014	4,500.00	1241
EZ2 Lotto 9PM	09-13	7/1/2014	4,000.00	698
Lotto 6/42	39-22-30-06-32-37	7/1/2014	6,000,000.00	0
EZ2 Lotto 11AM	19-13	7/1/2014	4,000.00	112
EZ2 Lotto 4PM	05-11	7/1/2014	4,000.00	243
Megalotto 6/45	43-05-28-18-08-19	6/30/2014	77,239,620.00	0
4Digit	8-5-3-9	6/30/2014	50,928.00	18
Suertres Lotto 11AM	6-2-3	6/30/2014	4,500.00	448
Suertres Lotto 4PM	6-0-6	6/30/2014	4,500.00	495
Suertres Lotto 9PM	9-4-3	6/30/2014	4,500.00	674
EZ2 Lotto 9PM	09-27	6/30/2014	4,000.00	609
EZ2 Lotto 11AM	13-23	6/30/2014	4,000.00	190
EZ2 Lotto 4PM	05-10	6/30/2014	4,000.00	205
Grand Lotto 6/55	39-20-19-03-45-07	6/30/2014	30,000,000.00	0
Superlotto 6/49	38-04-32-34-05-47	6/29/2014	35,469,200.00	0
Suertres Lotto 11AM	3-5-2	6/29/2014	4,500.00	631
Suertres Lotto 4PM	4-3-3	6/29/2014	4,500.00	372
Suertres Lotto 9PM	7-4-3	6/29/2014	4,500.00	930
EZ2 Lotto 9PM	21-14	6/29/2014	4,000.00	257
EZ2 Lotto 11AM	24-19	6/29/2014	4,000.00	87
EZ2 Lotto 4PM	15-11	6/29/2014	4,000.00	158
6Digit	8-9-9-6-7-1	6/28/2014	3,784,117.06	0
Suertres Lotto 11AM	2-2-5	6/28/2014	4,500.00	894
Suertres Lotto 4PM	2-2-1	6/28/2014	4,500.00	625
Suertres Lotto 9PM	3-1-2	6/28/2014	4,500.00	1060
EZ2 Lotto 9PM	01-24	6/28/2014	4,000.00	261
Lotto 6/42	27-01-29-04-06-18	6/28/2014	17,962,256.00	1
EZ2 Lotto 11AM	18-14	6/28/2014	4,000.00	129
EZ2 Lotto 4PM	26-22	6/28/2014	4,000.00	59
Grand Lotto 6/55	04-52-55-38-46-08	6/28/2014	215,867,812.00	1
Megalotto 6/45	30-19-17-09-36-08	6/27/2014	70,696,112.00	0
4Digit	8-1-4-3	6/27/2014	30,477.00	30
Suertres Lotto 11AM	6-7-7	6/27/2014	4,500.00	457
Suertres Lotto 4PM	4-8-2	6/27/2014	4,500.00	495
Suertres Lotto 9PM	3-8-6	6/27/2014	4,500.00	515
EZ2 Lotto 9PM	26-10	6/27/2014	4,000.00	292
EZ2 Lotto 11AM	03-28	6/27/2014	4,000.00	214
EZ2 Lotto 4PM	24-15	6/27/2014	4,000.00	54
Superlotto 6/49	46-44-20-28-21-18	6/26/2014	30,382,200.00	0
6Digit	2-0-7-0-3-1	6/26/2014	3,421,041.66	0
Suertres Lotto 11AM	2-4-5	6/26/2014	4,500.00	575
Suertres Lotto 4PM	7-0-3	6/26/2014	4,500.00	609
Suertres Lotto 9PM	3-6-8	6/26/2014	4,500.00	820
EZ2 Lotto 9PM	11-11	6/26/2014	4,000.00	1458
Lotto 6/42	30-16-18-31-13-27	6/26/2014	14,851,748.00	0
EZ2 Lotto 11AM	29-07	6/26/2014	4,000.00	124
EZ2 Lotto 4PM	06-01	6/26/2014	4,000.00	158
Megalotto 6/45	23-38-05-04-28-45	6/25/2014	63,400,280.00	0
4Digit	1-8-6-8	6/25/2014	22,300.00	32
Suertres Lotto 11AM	1-0-8	6/25/2014	4,500.00	805
Suertres Lotto 4PM	6-6-6	6/25/2014	4,500.00	577
Suertres Lotto 9PM	7-6-8	6/25/2014	4,500.00	782
EZ2 Lotto 9PM	9-11	6/25/2014	4,000.00	701
EZ2 Lotto 11AM	10-01	6/25/2014	4,000.00	205
EZ2 Lotto 4PM	11-08	6/25/2014	4,000.00	240
Grand Lotto 6/55	26-04-25-33-38-18	6/25/2014	201,462,604.00	0
Superlotto 6/49	02-30-03-06-09-20	6/24/2014	26,680,556.00	0
6Digit	5-9-9-8-0-6	6/24/2014	3,090,366.38	0
Suertres Lotto 11AM	2-6-4	6/24/2014	4,500.00	1032
Suertres Lotto 4PM	6-1-5	6/24/2014	4,500.00	610
Suertres Lotto 9PM	4-8-0	6/24/2014	4,500.00	656
EZ2 Lotto 9PM	18-18	6/24/2014	4,000.00	657
Lotto 6/42	26-04-23-05-36-29	6/24/2014	12,369,516.00	0
EZ2 Lotto 11AM	14-14	6/24/2014	4,000.00	429
EZ2 Lotto 4PM	04-07	6/24/2014	4,000.00	236
Megalotto 6/45	19-41-12-16-45-03	6/23/2014	58,447,904.00	0
4Digit	1-1-5-8	6/23/2014	22,777.00	36
Suertres Lotto 11AM	2-7-0	6/23/2014	4,500.00	216
Suertres Lotto 4PM	9-7-1	6/23/2014	4,500.00	393
Suertres Lotto 9PM	6-2-3	6/23/2014	4,500.00	1226
EZ2 Lotto 9PM	05-23	6/23/2014	4,000.00	678
EZ2 Lotto 11AM	19-21	6/23/2014	4,000.00	152
EZ2 Lotto 4PM	20-06	6/23/2014	4,000.00	200
Grand Lotto 6/55	35-48-02-11-29-46	6/23/2014	189,140,508.00	0
Superlotto 6/49	21-31-36-39-03-06	6/22/2014	23,066,256.00	0
Suertres Lotto 11AM	2-5-6	6/22/2014	4,500.00	793
Suertres Lotto 4PM	9-2-4	6/22/2014	4,500.00	477
Suertres Lotto 9PM	0-3-9	6/22/2014	4,500.00	378
EZ2 Lotto 9PM	17-14	6/22/2014	4,000.00	227
EZ2 Lotto 11AM	02-27	6/22/2014	4,000.00	212
EZ2 Lotto 4PM	12-06	6/22/2014	4,000.00	177
6Digit	2-4-3-9-2-5	6/21/2014	2,767,341.72	0
Suertres Lotto 11AM	6-7-2	6/21/2014	4,500.00	373
Suertres Lotto 4PM	6-9-8	6/21/2014	4,500.00	344
Suertres Lotto 9PM	2-3-2	6/21/2014	4,500.00	912
EZ2 Lotto 9PM	16-07	6/21/2014	4,000.00	239
Lotto 6/42	21-38-14-12-17-26	6/21/2014	9,792,164.00	0
EZ2 Lotto 11AM	11-15	6/21/2014	4,000.00	205
EZ2 Lotto 4PM	31-02	6/21/2014	4,000.00	58
Grand Lotto 6/55	37-41-29-34-52-16	6/21/2014	178,876,580.00	0
Megalotto 6/45	23-37-31-01-17-19	6/20/2014	53,852,592.00	0
4Digit	5-0-6-4	6/20/2014	13,240.00	72
Suertres Lotto 11AM	3-2-5	6/20/2014	4,500.00	657
Suertres Lotto 4PM	1-4-3	6/20/2014	4,500.00	1012
Suertres Lotto 9PM	3-9-8	6/20/2014	4,500.00	400
EZ2 Lotto 9PM	21-21	6/20/2014	4,000.00	728
EZ2 Lotto 11AM	06-23	6/20/2014	4,000.00	311
EZ2 Lotto 4PM	29-14	6/20/2014	4,000.00	93
Superlotto 6/49	40-35-28-09-12-18	6/19/2014	18,390,684.00	0
6Digit	8-3-4-7-1-3	6/19/2014	2,614,243.86	0
Suertres Lotto 11AM	2-0-7	6/19/2014	4,500.00	400
Suertres Lotto 4PM	8-8-4	6/19/2014	4,500.00	329
Suertres Lotto 9PM	9-7-3	6/19/2014	4,500.00	654
EZ2 Lotto 9PM	15-24	6/19/2014	4,000.00	364
Lotto 6/42	33-30-32-35-05-06	6/19/2014	7,191,212.00	0
EZ2 Lotto 11AM	31-03	6/19/2014	4,000.00	48
EZ2 Lotto 4PM	07-25	6/19/2014	4,000.00	231
Megalotto 6/45	17-12-24-08-45-18	6/18/2014	47,518,760.00	0
4Digit	1-3-4-1	6/18/2014	17,224.00	46
Suertres Lotto 11AM	7-2-3	6/18/2014	4,500.00	717
Suertres Lotto 4PM	8-0-8	6/18/2014	4,500.00	929
Suertres Lotto 9PM	2-0-5	6/18/2014	4,500.00	950
EZ2 Lotto 9PM	25-21	6/18/2014	4,000.00	136
EZ2 Lotto 11AM	06-03	6/18/2014	4,000.00	229
EZ2 Lotto 4PM	25-24	6/18/2014	4,000.00	66
Grand Lotto 6/55	02-54-06-32-24-25	6/18/2014	167,654,824.00	0
Superlotto 6/49	34-37-21-23-10-22	6/17/2014	16,000,000.00	0
6Digit	3-7-4-2-2-5	6/17/2014	2,507,468.06	0
Suertres Lotto 11AM	4-3-2	6/17/2014	4,500.00	425
Suertres Lotto 4PM	8-5-8	6/17/2014	4,500.00	130
Suertres Lotto 9PM	1-3-8	6/17/2014	4,500.00	1073
EZ2 Lotto 9PM	25-25	6/17/2014	4,000.00	711
Lotto 6/42	33-38-24-14-27-18	6/17/2014	6,000,000.00	0
EZ2 Lotto 11AM	18-18	6/17/2014	4,000.00	258
EZ2 Lotto 4PM	07-21	6/17/2014	4,000.00	214
Megalotto 6/45	29-19-41-09-20-34	6/16/2014	43,318,908.00	0
4Digit	8-8-8-9	6/16/2014	18,131.00	47
Suertres Lotto 11AM	9-2-1	6/16/2014	4,500.00	579
Suertres Lotto 4PM	6-5-1	6/16/2014	4,500.00	588
Suertres Lotto 9PM	9-8-2	6/16/2014	4,500.00	511
EZ2 Lotto 9PM	20-26	6/16/2014	4,000.00	196
EZ2 Lotto 11AM	05-11	6/16/2014	4,000.00	265
EZ2 Lotto 4PM	10-27	6/16/2014	4,000.00	202
Grand Lotto 6/55	54-19-02-21-14-44	6/16/2014	157,907,252.00	0
Superlotto 6/49	04-27-38-36-35-10	6/15/2014	16,000,000.00	0
Suertres Lotto 11AM	7-6-9	6/15/2014	4,500.00	402
Suertres Lotto 4PM	2-1-8	6/15/2014	4,500.00	418
Suertres Lotto 9PM	1-6-1	6/15/2014	4,500.00	1170
EZ2 Lotto 9PM	19-01	6/15/2014	4,000.00	172
EZ2 Lotto 11AM	01-23	6/15/2014	4,000.00	208
EZ2 Lotto 4PM	23-15	6/15/2014	4,000.00	227
6Digit	3-2-0-7-1-1	6/14/2014	2,316,343.84	0
Suertres Lotto 11AM	9-4-7	6/14/2014	4,500.00	418
Suertres Lotto 4PM	0-5-5	6/14/2014	4,500.00	244
Suertres Lotto 9PM	8-9-3	6/14/2014	4,500.00	373
EZ2 Lotto 9PM	10-03	6/14/2014	4,000.00	352
Lotto 6/42	05-15-11-08-37-01	6/14/2014	6,000,000.00	0
EZ2 Lotto 11AM	21-30	6/14/2014	4,000.00	155
EZ2 Lotto 4PM	17-22	6/14/2014	4,000.00	237
Grand Lotto 6/55	12-17-37-48-43-34	6/14/2014	148,772,080.00	0
Megalotto 6/45	04-21-39-45-01-13	6/13/2014	39,330,080.00	0
4Digit	5-0-5-8	6/13/2014	25,281.00	34
Suertres Lotto 11AM	0-8-1	6/13/2014	4,500.00	120
Suertres Lotto 4PM	8-3-5	6/13/2014	4,500.00	335
Suertres Lotto 9PM	1-1-9	6/13/2014	4,500.00	1218
EZ2 Lotto 9PM	31-26	6/13/2014	4,000.00	184
EZ2 Lotto 11AM	04-31	6/13/2014	4,000.00	197
EZ2 Lotto 4PM	17-31	6/13/2014	4,000.00	108
Superlotto 6/49	18-46-06-07-24-41	6/12/2014	16,000,000.00	0
6Digit	2-3-5-3-4-7	6/12/2014	2,198,650.24	0
Suertres Lotto 11AM	8-5-8	6/12/2014	4,500.00	302
Suertres Lotto 4PM	7-7-8	6/12/2014	4,500.00	486
Suertres Lotto 9PM	6-4-4	6/12/2014	4,500.00	766
EZ2 Lotto 9PM	30-26	6/12/2014	4,000.00	108
Lotto 6/42	04-33-17-27-41-23	6/12/2014	7,149,192.00	1
EZ2 Lotto 11AM	08-30	6/12/2014	4,000.00	223
EZ2 Lotto 4PM	13-08	6/12/2014	4,000.00	217
Megalotto 6/45	38-20-18-04-35-33	6/11/2014	33,529,948.00	0
4Digit	3-3-0-7	6/11/2014	32,499.00	26
Suertres Lotto 11AM	2-6-1	6/11/2014	4,500.00	923
Suertres Lotto 4PM	2-1-3	6/11/2014	4,500.00	1102
Suertres Lotto 9PM	4-7-1	6/11/2014	4,500.00	1050
EZ2 Lotto 9PM	25-13	6/11/2014	4,000.00	187
EZ2 Lotto 11AM	08-24	6/11/2014	4,000.00	203
EZ2 Lotto 4PM	06-24	6/11/2014	4,000.00	328
Grand Lotto 6/55	16-12-09-54-27-30	6/11/2014	138,443,164.00	0
Superlotto 6/49	03-45-24-29-07-41	6/10/2014	16,000,000.00	0
6Digit	6-0-8-7-5-2	6/10/2014	1,956,498.36	0
Suertres Lotto 11AM	6-4-9	6/10/2014	4,500.00	574
Suertres Lotto 4PM	4-3-3	6/10/2014	4,500.00	377
Suertres Lotto 9PM	6-3-8	6/10/2014	4,500.00	761
EZ2 Lotto 9PM	22-10	6/10/2014	4,000.00	577
Lotto 6/42	39-41-28-10-15-25	6/10/2014	6,000,000.00	0
EZ2 Lotto 11AM	08-03	6/10/2014	4,000.00	180
EZ2 Lotto 4PM	04-01	6/10/2014	4,000.00	208
Megalotto 6/45	35-31-30-22-19-40	6/9/2014	29,976,484.00	0
4Digit	9-3-8-0	6/9/2014	89,067.00	10
Suertres Lotto 11AM	8-2-6	6/9/2014	4,500.00	487
Suertres Lotto 4PM	7-5-2	6/9/2014	4,500.00	752
Suertres Lotto 9PM	0-3-0	6/9/2014	4,500.00	493
EZ2 Lotto 9PM	24-17	6/9/2014	4,000.00	243
EZ2 Lotto 11AM	19-14	6/9/2014	4,000.00	142
EZ2 Lotto 4PM	01-24	6/9/2014	4,000.00	185
Grand Lotto 6/55	28-49-33-04-11-14	6/9/2014	130,092,424.00	0
Superlotto 6/49	30-24-38-14-43-47	6/8/2014	27,684,200.00	1
Suertres Lotto 11AM	3-3-0	6/8/2014	4,500.00	373
Suertres Lotto 4PM	4-8-1	6/8/2014	4,500.00	695
Suertres Lotto 9PM	3-8-0	6/8/2014	4,500.00	1016
EZ2 Lotto 9PM	20-11	6/8/2014	4,000.00	141
EZ2 Lotto 11AM	26-25	6/8/2014	4,000.00	78
EZ2 Lotto 4PM	06-27	6/8/2014	4,000.00	247
6Digit	9-0-6-2-1-3	6/7/2014	1,624,779.04	0
Suertres Lotto 11AM	2-7-7	6/7/2014	4,500.00	440
Suertres Lotto 4PM	8-6-0	6/7/2014	4,500.00	282
Suertres Lotto 9PM	9-9-4	6/7/2014	4,500.00	351
EZ2 Lotto 9PM	20-15	6/7/2014	4,000.00	182
Lotto 6/42	31-17-30-38-33-26	6/7/2014	6,000,000.00	0
EZ2 Lotto 11AM	16-18	6/7/2014	4,000.00	195
EZ2 Lotto 4PM	26-21	6/7/2014	4,000.00	87
Grand Lotto 6/55	33-03-08-20-36-17	6/7/2014	121,797,324.00	0
Megalotto 6/45	31-25-39-19-38-28	6/6/2014	26,427,940.00	0
4Digit	1-1-3-1	6/6/2014	10,000.00	72
Suertres Lotto 11AM	6-1-3	6/6/2014	4,500.00	1105
Suertres Lotto 4PM	3-6-3	6/6/2014	4,500.00	907
Suertres Lotto 9PM	6-2-4	6/6/2014	4,500.00	1274
EZ2 Lotto 9PM	22-08	6/6/2014	4,000.00	301
EZ2 Lotto 11AM	06-06	6/6/2014	4,000.00	1164
EZ2 Lotto 4PM	03-25	6/6/2014	4,000.00	209
Superlotto 6/49	13-08-12-35-48-38	6/5/2014	22,883,400.00	0
6Digit	8-0-8-3-2-3	6/5/2014	1,409,402.98	0
Suertres Lotto 11AM	7-2-0	6/5/2014	4,500.00	343
Suertres Lotto 4PM	5-1-3	6/5/2014	4,500.00	532
Suertres Lotto 9PM	3-8-9	6/5/2014	4,500.00	945
EZ2 Lotto 9PM	29-18	6/5/2014	4,000.00	165
Lotto 6/42	35-14-22-23-08-04	6/5/2014	7,424,764.00	1
EZ2 Lotto 11AM	09-22	6/5/2014	4,000.00	258
EZ2 Lotto 4PM	08-29	6/5/2014	4,000.00	203
Megalotto 6/45	02-08-04-19-29-36	6/4/2014	21,114,456.00	0
4Digit	2-4-4-3	6/4/2014	40,878.00	21
Suertres Lotto 11AM	7-7-4	6/4/2014	4,500.00	380
Suertres Lotto 4PM	1-6-9	6/4/2014	4,500.00	660
Suertres Lotto 9PM	0-8-1	6/4/2014	4,500.00	494
EZ2 Lotto 9PM	12-07	6/4/2014	4,000.00	433
EZ2 Lotto 11AM	02-20	6/4/2014	4,000.00	200
EZ2 Lotto 4PM	27-24	6/4/2014	4,000.00	47
Grand Lotto 6/55	11-28-08-33-24-14	6/4/2014	112,847,496.00	0
Superlotto 6/49	16-10-45-17-48-41	6/3/2014	19,045,476.00	0
6Digit	2-7-6-9-9-3	6/3/2014	1,158,041.98	0
Suertres Lotto 11AM	0-7-7	6/3/2014	4,500.00	295
Suertres Lotto 4PM	8-1-8	6/3/2014	4,500.00	511
Suertres Lotto 9PM	1-0-7	6/3/2014	4,500.00	1216
EZ2 Lotto 9PM	08-24	6/3/2014	4,000.00	620
Lotto 6/42	23-28-09-04-05-17	6/3/2014	6,000,000.00	0
EZ2 Lotto 11AM	25-10	6/3/2014	4,000.00	213
EZ2 Lotto 4PM	20-15	6/3/2014	4,000.00	189
Megalotto 6/45	16-25-17-02-21-37	6/2/2014	17,976,772.00	0
4Digit	1-8-2-2	6/2/2014	10,000.00	102
Suertres Lotto 11AM	4-8-6	6/2/2014	4,500.00	710
Suertres Lotto 4PM	0-1-4	6/2/2014	4,500.00	323
Suertres Lotto 9PM	1-5-3	6/2/2014	4,500.00	741
EZ2 Lotto 9PM	04-25	6/2/2014	4,000.00	530
EZ2 Lotto 11AM	19-06	6/2/2014	4,000.00	161
EZ2 Lotto 4PM	07-18	6/2/2014	4,000.00	223
Grand Lotto 6/55	11-54-18-44-09-36	6/2/2014	105,863,504.00	0
Superlotto 6/49	23-33-34-42-41-35	6/1/2014	16,000,000.00	0
Suertres Lotto 11AM	5-8-6	6/1/2014	4,500.00	465
Suertres Lotto 4PM	1-0-4	6/1/2014	4,500.00	426
Suertres Lotto 9PM	1-0-3	6/1/2014	4,500.00	1010
EZ2 Lotto 9PM	10-23	6/1/2014	4,000.00	532
EZ2 Lotto 11AM	27-27	6/1/2014	4,000.00	224
EZ2 Lotto 4PM	06-19	6/1/2014	4,000.00	228
6Digit	6-7-3-2-7-9	5/31/2014	878,611.74	0
Suertres Lotto 11AM	6-1-5	5/31/2014	4,500.00	872
Suertres Lotto 4PM	6-0-5	5/31/2014	4,500.00	645
Suertres Lotto 9PM	2-8-4	5/31/2014	4,500.00	603
EZ2 Lotto 9PM	19-24	5/31/2014	4,000.00	420
Lotto 6/42	14-18-02-39-30-27	5/31/2014	6,000,000.00	0
EZ2 Lotto 11AM	08-17	5/31/2014	4,000.00	195
EZ2 Lotto 4PM	16-16	5/31/2014	4,000.00	334
Grand Lotto 6/55	07-46-22-40-12-38	5/31/2014	99,471,992.00	0
Megalotto 6/45	44-39-23-15-37-27	5/30/2014	14,914,380.00	0
4Digit	4-9-6-8	5/30/2014	36,896.00	22
Suertres Lotto 11AM	4-5-3	5/30/2014	4,500.00	425
Suertres Lotto 4PM	7-9-1	5/30/2014	4,500.00	115
Suertres Lotto 9PM	2-6-9	5/30/2014	4,500.00	786
EZ2 Lotto 9PM	18-15	5/30/2014	4,000.00	173
EZ2 Lotto 11AM	25-23	5/30/2014	4,000.00	95
EZ2 Lotto 4PM	03-16	5/30/2014	4,000.00	241
Superlotto 6/49	39-42-25-43-12-24	5/29/2014	16,000,000.00	0
6Digit	8-8-2-8-0-9	5/29/2014	608,692.70	0
Suertres Lotto 11AM	0-6-2	5/29/2014	4,500.00	121
Suertres Lotto 4PM	9-6-9	5/29/2014	4,500.00	328
Suertres Lotto 9PM	9-8-9	5/29/2014	4,500.00	381
EZ2 Lotto 9PM	29-09	5/29/2014	4,000.00	317
Lotto 6/42	10-05-12-30-04-31	5/29/2014	17,791,496.00	1
EZ2 Lotto 11AM	24-03	5/29/2014	4,000.00	143
EZ2 Lotto 4PM	30-17	5/29/2014	4,000.00	74
Megalotto 6/45	03-32-04-29-31-37	5/28/2014	10,229,304.00	0
4Digit	3-7-2-9	5/28/2014	11,288.00	30
Suertres Lotto 11AM	9-4-4	5/28/2014	4,500.00	736
Suertres Lotto 4PM	7-9-1	5/28/2014	4,500.00	469
Suertres Lotto 9PM	4-1-8	5/28/2014	4,500.00	1203
EZ2 Lotto 9PM	04-14	5/28/2014	4,000.00	732
EZ2 Lotto 11AM	29-02	5/28/2014	4,000.00	90
EZ2 Lotto 4PM	10-16	5/28/2014	4,000.00	214
Grand Lotto 6/55	07-34-05-48-51-06	5/28/2014	92,698,640.00	0
Superlotto 6/49	24-37-03-39-32-26	5/27/2014	16,000,000.00	0
6Digit	2-3-0-9-5-4	5/27/2014	375,378.96	0
Suertres Lotto 11AM	4-4-1	5/27/2014	4,500.00	714
Suertres Lotto 4PM	0-5-2	5/27/2014	4,500.00	402
Suertres Lotto 9PM	2-0-9	5/27/2014	4,500.00	802
EZ2 Lotto 9PM	08-18	5/27/2014	4,000.00	607
Lotto 6/42	13-42-21-38-40-17	5/27/2014	14,844,328.00	0
EZ2 Lotto 11AM	17-12	5/27/2014	4,000.00	155
EZ2 Lotto 4PM	18-08	5/27/2014	4,000.00	141
Megalotto 6/45	21-20-28-10-25-14	5/26/2014	9,000,000.00	0
4Digit	3-0-2-0	5/26/2014	10,000.00	57
Suertres Lotto 11AM	4-6-0	5/26/2014	4,500.00	370
Suertres Lotto 4PM	2-3-0	5/26/2014	4,500.00	333
Suertres Lotto 9PM	5-5-7	5/26/2014	4,500.00	728
EZ2 Lotto 9PM	31-20	5/26/2014	4,000.00	65
EZ2 Lotto 11AM	07-12	5/26/2014	4,000.00	210
EZ2 Lotto 4PM	15-06	5/26/2014	4,000.00	177
Grand Lotto 6/55	39-49-14-20-29-23	5/26/2014	87,079,576.00	0
Superlotto 6/49	40-16-27-39-29-42	5/25/2014	16,000,000.00	0
Suertres Lotto 11AM	7-1-5	5/25/2014	4,500.00	305
Suertres Lotto 4PM	1-8-2	5/25/2014	4,500.00	208
Suertres Lotto 9PM	3-2-0	5/25/2014	4,500.00	610
EZ2 Lotto 9PM	19-15	5/25/2014	4,000.00	204
EZ2 Lotto 11AM	14-14	5/25/2014	4,000.00	364
EZ2 Lotto 4PM	19-09	5/25/2014	4,000.00	102
6Digit	4-1-4-6-1-0	5/24/2014	319,992.72	0
Suertres Lotto 11AM	9-2-3	5/24/2014	4,500.00	346
Suertres Lotto 4PM	4-8-9	5/24/2014	4,500.00	317
Suertres Lotto 9PM	9-8-9	5/24/2014	4,500.00	929
EZ2 Lotto 9PM	03-05	5/24/2014	4,000.00	636
Lotto 6/42	38-41-11-31-18-05	5/24/2014	11,899,416.00	0
EZ2 Lotto 11AM	19-22	5/24/2014	4,000.00	266
EZ2 Lotto 4PM	09-01	5/24/2014	4,000.00	163
Grand Lotto 6/55	39-54-48-34-17-04	5/24/2014	81,835,376.00	0
Megalotto 6/45	07-42-14-21-31-27	5/23/2014	9,000,000.00	0
4Digit	6-9-1-2	5/23/2014	14,885.00	35
Suertres Lotto 11AM	4-5-1	5/23/2014	4,500.00	575
Suertres Lotto 4PM	1-5-7	5/23/2014	4,500.00	709
Suertres Lotto 9PM	6-0-7	5/23/2014	4,500.00	554
EZ2 Lotto 9PM	06-21	5/23/2014	4,000.00	648
EZ2 Lotto 11AM	12-28	5/23/2014	4,000.00	220
EZ2 Lotto 4PM	11-16	5/23/2014	4,000.00	210
Superlotto 6/49	31-35-04-06-30-03	5/22/2014	98,612,308.00	1
6Digit	7-0-5-4-2-0	5/22/2014	269,992.72	0
Suertres Lotto 11AM	1-3-4	5/22/2014	4,500.00	530
Suertres Lotto 4PM	5-3-8	5/22/2014	4,500.00	667
