Date;Players;Cash;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
05-06-2018;411272;2902377,5000;0;17000000,0000;0;360735,7000;1;28006,4000;2;2739,7000;33;142,7000;82;111,4000;87;59,1000;1063;19,5000;1663;13,6000;3339;13,3000;6029;9,9000;24480;7,4000;48063;4,7000
01-06-2018;676487;5400080,0000;0;37145179,0000;0;0,0000;0;183844,5000;1;3484,6000;63;167,3000;168;102,9000;120;66,6000;2113;18,6000;3446;13,0000;6640;12,6000;11031;10,1000;53514;7,0000;100694;4,4000
29-05-2018;455118;3389537,5000;0;0,0000;0;164503,7000;1;21286,0000;0;4259,3000;31;176,9000;111;109,9000;87;67,7000;1558;18,8000;1799;14,6000;3697;13,3000;7813;9,8000;28361;7,9000;57058;4,6000
25-05-2018;645278;5061450,0000;0;0,0000;0;560877,5000;2;21772,4000;1;2719,0000;75;156,8000;139;95,5000;139;63,4000;1879;18,1000;3280;12,4000;5997;12,4000;9983;10,1000;46341;6,9000;86686;4,5000
22-05-2018;409398;2957835,0000;0;0,0000;0;0,0000;0;308470,6000;0;6577,7000;22;249,2000;36;177,5000;50;79,5000;717;30,8000;1145;19,6000;3268;13,8000;3766;15,9000;18904;10,2000;49920;4,7000
18-05-2018;645378;4975722,5000;0;0,0000;2;175512,3000;0;16351,5000;9;1236,8000;110;83,1000;189;59,5000;226;32,6000;2422;13,1000;3996;9,4000;8225;8,7000;12048;7,9000;48233;6,3000;101518;3,8000
15-05-2018;433378;3095157,5000;0;0,0000;0;0,0000;0;91832,7000;4;4466,0000;36;170,1000;62;157,3000;99;53,5000;778;29,0000;1500;16,6000;3967;11,7000;4394;15,8000;21995;9,3000;55723;4,3000
11-05-2018;583939;4457380,0000;0;0,0000;1;249726,2000;0;46531,2000;4;3075,6000;71;181,4000;106;127,5000;124;62,7000;1266;23,3000;2323;15,8000;5454;13,0000;7224;12,3000;32977;8,8000;79605;4,6000
08-05-2018;473418;3440247,5000;0;45566998,0000;0;788327,8000;1;26230,0000;2;3592,3000;53;161,8000;100;86,7000;115;59,7000;1752;15,3000;1953;13,5000;4141;12,5000;9688;8,1000;29237;7,5000;59159;4,7000
04-05-2018;697919;5382402,5000;0;0,0000;0;223411,3000;0;21681,2000;1;5784,5000;78;158,3000;109;153,0000;167;49,4000;1514;28,3000;2978;15,1000;7618;10,9000;7735;15,5000;41494;8,6000;104046;4,0000
